મુખપૃષ્ઠ	Main Page
જીમેઇલ	Gmail
શ્રી નાથજીદાદાની જગ્યા - દાણીધાર	Shri Nathjidada Ni Jagya
ઇયાન બોથમ	Ian Botham
કપિલ દેવ	Kapil Dev
કરસન ઘાવરી	Karsan Ghavri
કિર્તિ આઝાદ	Kirti Azad
ચેતન શર્મા	Chetan Sharma
રોજર બિન્ની	Roger Binny
અજય જાડેજા	Ajay Jadeja
રવિ શાસ્ત્રી	Ravi Shastri
રોબિનસિંઘ	Robin Singh 
મદનલાલ શર્મા	Madan Lal
મોહિન્દર અમરનાથ	Mohinder Amarnath
કલ્કિ	Kalki
કાલાવડ	Kalavad
ખંભાળિયા	Jamkhambhaliya
કલ્યાણપુર	Jam kalyanpur
જામજોધપુર	Jam Jodhpur
ભાણવડ	Bhanvad
ધ્રોલ	Dhrol
જોડિયા	Jodia, Gujarat
ચેતન ચૌહાણ	Chetan Chauhan
દિલિપ વેંગસારકર	Dilip Vengsarkar
સંજય માંજરેકર	Sanjay Manjrekar
સંદિપ પાટિલ	Sandeep Patil
સુનીલ ગાવસકર	Sunil Gavaskar
ગુંડપ્પા વિશ્વનાથ	Gundappa Viswanath
યશપાલ શર્મા	Yashpal Sharma 
પ્રવિણ આમરે	Pravin Amre
મનોજ પ્રભાકર	Manoj Prabhakar
જવગલ શ્રીનાથ	Javagal Srinath
ક્રિષ્નામાચારી શ્રીકાંત	Krishnamachari Srikkanth
વિનોદ કાંબલી	Vinod Kambli
નવજોત સિધ્ધુ	Navjot Singh Sidhu
બિશનસિંઘ બેદી	Bishan Singh Bedi
ભાગવત ચંદ્રશેખર	B. S. Chandrasekhar
શ્રીનિવાસ વેંકટરાઘવન	Srinivasaraghavan Venkataraghavan
શિવલાલ યાદવ	Shivlal Yadav
વિવેક રાઝદાન	Vivek Razdan
અરશદ અય્યુબ	Arshad Ayub
તલવાર	Sword
એપોલો ૧૭	Apollo 17
લક્ષ્મણ શિવરામક્રિષ્ણન	Laxman Sivaramakrishnan
સલીલ અંકોલા	Salil Ankola
સંજીવ શર્મા	Sanjeev Sharma
નરેન્દ્ર હિરવાણી	Narendra Hirwani
અતુલ વાસન	Atul Wassan
અજય યાદવ	Ajay Yadav
યોગરાજસિંઘ	Yograj Singh
સુરિન્દર અમરનાથ	Surinder Amarnath
અતુલ બેદાડે	Atul Bedade
અંશુમાન ગાયકવાડ	Anshuman Gaekwad
સમીર દિઘે	Sameer Dighe
સૈયદ કિરમાણી	Syed Kirmani
સબા કરીમ	Saba Karim
કિરણ મોરે	Kiran More
વિજય યાદવ	Vijay Yadav 
સદાનંદ વિશ્વનાથ	Sadanand Viswanath
મહા	Magh 
ફાગણ	Phalguna
ચૈત્ર	Chaitra
વૈશાખ	Vaisakha
જેઠ	Jyeshtha 
અષાઢ	Ashadha
શ્રાવણ	Shraavana
ભાદરવો	Bhadra 
આસો	Ashvin
વિક્રમ સંવત	Vikram Samvat
શક સંવત	Shaka era
વડાલી	Vadali, Gujarat
ખેડબ્રહ્મા	Khedbrahma
તલોદ	Talod
ધનસુરા	Dhansura
પ્રાંતિજ	Prantij
ભિલોડા	Bhiloda
માલપુર	Malpur
મેઘરજ	Meghraj
મોડાસા	Modasa
દહેગામ	Dahegam
માણસા	Mansa, Gujarat
ડીસા	Deesa
થરાદ	Tharad
દાંતા	Danta, Banaskantha
ભાભર 	Bhabhar, Gujarat
વડગામ	Vadgam
વાવ, બનાસકાંઠા જિલ્લો	Vav, Gujarat
ખેરાલુ	Kheralu
બહુચરાજી	Becharaji
વિજાપુર	Vijapur
ઝાલોદ	Jhalod
દાહોદ	Dahod
દેવગઢબારિયા	Devgadh Baria
લીમખેડા	Limkheda
સમી	Sami, Gujarat
ચાણસ્મા	Chanasma
રાધનપુર	Radhanpur
સાંતલપુર	Santalpur
સિદ્ધપુર	Siddhpur
હારીજ	Harij
ઉના	Una, Gujarat
કેશોદ	Keshod
કોડીનાર	Kodinar
તાલાલા	Talala, Gujarat
સુત્રાપાડા	Sutrapada
વિસાવદર	Visavadar
વંથલી	Vanthali
મેંદરડા	Mendarda
માંગરોળ 	Mangrol, Gujarat
માણાવદર	Manavadar
કાલોલ	Kalol 
જાંબુઘોડા	Jambughoda
લુણાવાડા	Lunavada
કડાણા	Kadana
સંતરામપુર	Santrampur
HerculeBot	HerculeBot
સયૌં થુંગા ફુલકા	Sayaun Thunga Phool Ka
ધ્રાંગધ્રા	Dhrangadhra
સાયલા	Sayla Taluka
મુળી	Muli, Gujarat
હળવદ	Halvad
ડેડીયાપાડા તાલુકો	Dediyapada Taluka
સાગબારા તાલુકો	Sagbara Taluka
ઘોઘા	Ghogha
છોટાઉદેપુર	Chhota Udaipur
નસવાડી	Nasvadi
સંખેડા	Sankheda
સાવલી	Savli
શિનોર	Sinor
મહુધા	Mahudha
મહેમદાવાદ	Mahemdavad
ખેડા	Kheda
વિરપુર 	Virpur 
Idioma-bot	Idioma-bot
ઇ-કોમર્સ	E-commerce
રુદ્ર	Rudra
હિંદુ ધર્મ	Hinduism
અરવિંદ આશ્રમ	Aurobindo Ashram
ભારત રત્ન	Bharat Ratna
પદ્મશ્રી	Padma Shri
પદ્મભૂષણ	Padma Bhushan
પદ્મવિભૂષણ	Padma Vibhushan
રાજધાની એક્ષપ્રેસ	Rajdhani Express
દિવાળી	Diwali
ગંગોત્રી	Gangotri
યમનોત્રી	Yamunotri
કંડલા બંદર	Kandla
ગણેશ ચતુર્થી	Ganesh Chaturthi
ગુરુદ્વારા	Gurdwara
હનુમાન જયંતી	Hanuman Jayanti
તહેવાર	Festivals
દેવી દેવતા	Deities
લુમ્બિની	Lumbini
User gu-N	User gu-N
ભરત	Bharata 
એશિયા	Asia
દેનપસાર	Denpasar
ગજહ મદ	Gajah Mada
બ્રહ્મગુપ્ત	Brahmagupta
ફેરફાર	Cheatsheet
કોંકણ રેલ્વે	Konkan Railway
આંગળી	Finger
કનીષ્ઠિકા	Little finger
અંગૂઠો	Thumb
User hi-3	User hi-3
User hi	User hi
User hi-N	User hi-N
User en	User en
User en-4	User en-4
રાશી	Zodiac
સમય	Time
મેષ રાશી	Aries 
વૃષભ રાશી	Taurus 
મિથુન રાશી	Gemini 
કર્ક રાશી	Cancer 
સિંહ રાશી	Leo 
કન્યા રાશી	Virgo 
તુલા રાશી	Libra 
વૃશ્ચિક રાશી	Scorpio 
ધનુ રાશી	Sagittarius 
મકર રાશિ	Capricorn 
કુંભ રાશી	Aquarius 
મીન રાશી	Pisces 
જ્યોતિષ	Hindu astrology
દિગંબર	Digambara
Dmitri Lytov	Dmitri Lytov
ખેલાડી	People in sports
Adolfobs93	Adolfobs93
ગુરુત્વાકર્ષણ	Gravity
આત્મસિદ્ધિ	Atma Siddhi
સંત તુકારામ	Tukaram
Ptbotgourou	Ptbotgourou
કૃષ્ણા નદી	Krishna River
કલિંગનુ યુધ્ધ	Kalinga War
મહાબળેશ્વર	Mahabaleshwar
વિજયવાડા	Vijayawada
હમીરસર	Hamirsar Lake
મહારાષ્ટ્ર	Maharashtra
કરાડ	Karad
વાઇ	Wai, Maharashtra
ફલટણ	Phaltan
કોરેગાંવ	Koregaon
ગુજરાતનાં લોકનૃત્યો	Folk dances of Gujarat
દેશી કાગડો	House crow
કાગડો	Corvus 
યાયાવર પક્ષીઓ	Bird migration
માખીમાર	Terpsiphone
માખીમાર	Paradise flycatcher
પીરોજી માખીમાર	Verditer flycatcher
નાચણ	White-throated fantail
સૂડો	Rose-ringed parakeet
પોપટ	Parakeet
અધરંગ	Tickell's blue flycatcher
કોયલ કુટુંબ	Koel
કોયલ	Asian koel
કોયલ કુટુંબ	Eudynamys
બપૈયો	Common hawk-cuckoo
ચાતક	Jacobin cuckoo
થ્રશ કુટુંબ	Thrush 
ઇન્દ્રરાજ	Malabar whistling thrush
Say it in Gujarati	Culture of Gujarat
ગિરનારી કાગડો	Large-billed crow
રામચકલી-પીળી ચોટલી	Yellow-cheeked tit
કાબરી રામચકલી	Southern black tit
મખમલી થડચડ	Velvet-fronted nuthatch
કથ્થાઇ પેટ થડચડ	Indian nuthatch
કસ્તુરી	Common blackbird
રામચકલી	Grey tit
કાબર	Common myna
મેના-કાબર કુટુંબ	Starling
શિરાજી કાબર	Bank myna
વન કાબર	Jungle myna
દશેરા	Vijayadashami
પાન્ડુ શામા	Blue rock thrush
મલાગીર કસ્તુરો	Orange-headed thrush
તુલસીશ્યામ	Tulsishyam
Maxval	Maxval
ગુજરાતના રાજ્યપાલો	List of governors of Gujarat
ગુજરાતના જિલ્લાઓ	List of districts of Gujarat
ગુજરાત	Gujarat
તરણેતર	Tarnetar
મેલબોર્ન	Melbourne
સાહિત્ય અકાદમી પુરસ્કાર-ગુજરાતી	List of Sahitya Akademi Award winners for Gujarati
મહાદેવભાઈ દેસાઈ	Mahadev Desai
ખંડ	Continent
ભારતનાં વિશ્વ ધરોહર સ્થળો	List of World Heritage Sites in India
અભિમન્યુ	Abhimanyu
દ્રોણ	Drona
આગ્રાનો કિલ્લો	Agra Fort
દેવચકલી	Indian robin
ગોદાવરી	Godavari River
અક્ષરધામ 	Akshardham 
પરમવીર ચક્ર	Param Vir Chakra
જેમ્સ બોન્ડ	James Bond
Sisterlinks	Sister project links
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	List of female Nobel laureates
પંચાંગ	Panchangam
Horst	Horst
ચંદ્રયાન-૧	Chandrayaan-1
પ્રાથમિક સારવાર	First aid
સાબુદાણા	Sago
ધન તેરસ	Dhanteras
શ્રીલંકા	Sri Lanka
કાળી ચૌદશ	Naraka Chaturdashi
ભારતના રાષ્ટ્રપતિ	Presidents of India
Muro Bot	Muro Bot
બભ્રુવાહન	Babruvahana
વિરાટ	Virata
કૃતવર્મા	Kritavarma
અશ્વત્થામા	Ashwatthama
બલરામ	Balarama
જયદ્રથ	Jayadratha
નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	List of Nobel laureates
Harald Khan	Harald Khan
રાજસ્થાની	Rajasthani people
ભગત સિંહ	Bhagat Singh
Coord	Coord
Coord/display/title	Coord/display/title
Coord/dms2dec	Coord/dms2dec
જૂનાગઢ જિલ્લો	Junagadh district
Nowrap begin	Nowrap begin
ભારતીય અવકાશ કાર્યક્રમ	Indian space programme
ઇન્સેટ ઉપગ્રહ શ્રેણી	Indian National Satellite System
ઇસરો	Indian Space Research Organisation
Infobox	Infobox
આર્યભટ્ટ 	Aryabhata 
રોહિણી 	Rohini 
ભાસ્કર 	Bhaskara 
લોહાણા	Lohana
તેલુગુ ભાષા	Telugu language
એપલ 	Ariane Passenger Payload Experiment
આઇ.આર.એસ. ઉપગ્રહ શ્રેણી	Indian Remote Sensing Programme
સરોસ ઉપગ્રહ શ્રેણી	Stretched Rohini Satellite Series
Spacecraft-stub	Spacecraft-stub
હેમસેટ	HAMSAT
કલ્પના-૧	Kalpana-1
એસ્ટ્રોસેટ	Astrosat
Birth date and age	Birth date and age
Erkan Yilmaz	Erkan Yilmaz
સુનિતા નારાયણ	Sunita Narain
અક્ષય વિકાસ	Sustainable development
પ્રમબનન	Prambanan
ગીતા પ્રેસ	Gita Press
GeoTemplate	GeoTemplate
GeoTemplate/Lang	GeoTemplate/Lang
ઉપગ્રહ પ્રક્ષેપણ યાન	Satellite
કટરા	Katra, Jammu and Kashmir
અંતકડી	Antakshari
ઇન્દીવર	Indeevar
Infobox Rocket	Infobox rocket
એ.એસ.એલ.વી.યાન	Augmented Satellite Launch Vehicle
અબ્દુલ કલામ	A. P. J. Abdul Kalam
પ્રતિભા પાટીલ	Pratibha Patil
ભારતના રાષ્ટ્રપતિ	Presidents of India
રાજેન્દ્ર પ્રસાદ	Rajendra Prasad
કાર્બ્યુરેટર	Carburetor
ગેટવે ઓફ ઇન્ડિયા	Gateway of India
રીવર રાફ્ટિંગ	Rafting
ધાર્મિક સ્થળો	Religious places
Embassy	Embassy
જીસેટ	GSAT
વડ	Banyan
કમળ	Nelumbo nucifera
રાષ્ટ્રીય પંચાંગ	Indian national calendar
કેરી	Mangifera indica
હોકી	Field hockey
Muro de Aguas	Muro de Aguas
નવા સુદાસણા	Nava Sudasana
Apalsola	Apalsola
મક્કા	Mecca
નમાજ઼	Salah
મદીના	Medina
ઓઝત નદી	Ozat River
ક્રિકેટર	Cricketers
Hugo.arg	Hugo.arg
લડાખ	Ladakh
Wide image	Wide image
હિતોપદેશ	Hitopadesha
ગિજુભાઈ બધેકા	Gijubhai Badheka
Sebleouf	Sebleouf
કચ્છી ભાષા	Kutchi language
Eivindgh	Eivindgh
ચામુંડા	Chamunda
ArthurBot	ArthurBot
સંદર્ભ	Citation needed
સંદર્ભ	Citation
બહાદુર શાહ ઝફર	Bahadur Shah Zafar
મોક્ષદા એકાદશી	Mokshada Ekadashi
આમલકી એકાદશી	Amalaka Ekadashi
કામદા એકાદશી	Kamada Ekadashi
મકર સંક્રાંતિ	Makar Sankranti
Chobot	Chobot
અડાલજની વાવ	Adalaj Stepwell
પાટણ જિલ્લો	Patan district
User de	User de
User de	User de
Userbox	Userbox
User en-2	User en-2
એરિસ્ટોટલ	Aristotle
પ્લેટો	Plato
સોક્રેટિસ	Socrates
પ્રજાસત્તાક દિન 	Republic Day 
ભારતની લાઇસન્સ પ્લેટ	Vehicle registration plates of India
કે.લાલ	K Lal
JøMa	JøMa
ગ્રહ	Planet
તારાપુર	Tarapur, Gujarat
ભગવદ્ગોમંડલ	Bhagavadgomandal
આસામીઝ ભાષા	Assamese language
બંગાળી ભાષા	Bengali language
બોડો ભાષા	Bodo language
ડોગરી ભાષા	Dogri language
કાશ્મીરી ભાષા	Kashmiri language
કોંકણી ભાષા	Konkani language
મણિપુરી ભાષા	Meitei language
ઓડિઆ ભાષા	Odia language
પંજાબી ભાષા	Punjabi language
સંથાલી ભાષા	Santali language
ઉર્દૂ ભાષા	Urdu
માહે	Mahé, Puducherry
માહે જિલ્લો	Mahé district
કુબેર	Kubera
ગ્રેનવિલ ઔસ્ટિન	Granville Austin
દાંતનું ચોકઠું	Dentures
અતુલ 	Atul, Gujarat
ભાષા-બં	Lang-bn
પારનેરા	Parnera
માલવણ	Malwan
Razorflame	Razorflame
અંબિકા નદી	Ambika River
રાજપીપલા	Rajpipla
User de-2	User de-2
Citation/core	Citation/core
Para	Para
User de-1	User de-1
સ્વિડન	Sweden
Darkicebot	Darkicebot
વિશ્વની સાત મોટી ભૂલો	Seven Social Sins
અપ્પુઘર	Appu Ghar
શ્રીમદ્ ભાગવતમ્	Bhagavata Purana
Pavao Zornija	Pavao Zornija
જ્યોતિર્લિંગ	Jyotirlinga
યુનાઇટેડ કિંગડમ	United Kingdom
અવાજની ઝડપ	Speed of sound
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	List of countries and dependencies by area
ભવનાથ	Bhavnath
બિલખા	Bilkha
વાછાવડ	Vachhavad
રવિવાર	Sunday
અઠવાડિયું	Week
સોમવાર	Monday
મંગળવાર	Tuesday
બુધવાર	Wednesday
ગુરુવાર	Thursday
શુક્રવાર	Friday
શનિવાર	Saturday
બાળગીત	Children's songs
પર્થ	Perth
ક્ષત્રિય	Kshatriya
માર્ગ	Road
દમણ જિલ્લો	Daman district, India
દીવ જિલ્લો	Diu district
દમણ તાલુકો	Daman Tehsil
દમણ અને દીવ	Daman and Diu
દમણ જિલ્લો	Daman district, India
સ્ટુટગાર્ટ	Stuttgart
દાદરા અને નગરહવેલી જિલ્લો	Dadra and Nagar Haveli district
દાદરા અને નગરહવેલી	Dadra and Nagar Haveli
દાદરા, દાદરા અને નગરહવેલી	Dadra, Dadra and Nagar Haveli
પ્રહલાદ	Prahlada
Djsasso	Djsasso
SassoBot	SassoBot
નવસારી જિલ્લો	Navsari district
સારાવાક ગુફા	Sarawak Chamber
ભારતમાં ટી.વી. ચેનલો	List of Hindi-language television channels
ધુમ્મસ	Fog
ઉત્તર ગોઆ જિલ્લો	North Goa district
ગોઆ	Goa
દક્ષિણ ગોઆ જિલ્લો	South Goa district
વિશ્વ જળ દિન	World Water Day
માર્ચ ૨૨	March 22
માર્ચ ૨૪	March 24
માર્ચ ૨૦	March 20
માર્ચ ૮	March 8
માર્ચ ૧૨	March 12
આંતરરાષ્ટ્રીય મહિલા દિન	International Women's Day
વિશ્વ ક્ષય દિન	World Tuberculosis Day
વિશ્વ	World
આરોગ્ય	Health care
ઍફીલ ટાવર	Eiffel Tower
લોકગીત	Contemporary folk music
જાન્યુઆરી ૧	January 1
ઓગસ્ટ ૧૫	August 15
માર્ચ ૨૧	March 21
સિદ્ધગિરિ ગ્રામજીવન સંગ્રહાલય	Siddhagiri Gramjivan Museum 
માસ	Month header
માર્ચ ૧૯	March 19
ચિત્રલેખા	Chitralekha 
કછોલી	Kachholi
દેવસર	Devsar
નાંદરખા	Nandarkha
હાથી	Elephant
ઘોડો	Horse
ડાંગ જિલ્લો	Dang district
વિશ્વ વન દિવસ	International Day of Forests
યુ.જી.કૃષ્ણમુર્તિ	U. G. Krishnamurti
માર્ચ ૨૩	March 23
રાજગુરુ	Shivaram Rajguru
સુખદેવ	Sukhdev Thapar
રામ મનોહર લોહિયા	Ram Manohar Lohia
અમદાવાદ જિલ્લો	Ahmedabad district
માર્ચ ૨૫	March 25
માર્ચ ૨૬	March 26
ઇ-મેઇલ	Email
પણજી	Panaji
રાષ્ટ્રીય ધોરી માર્ગ નં. ૮	National Highway 8 
વિરાવળ	Viraval, Navsari
માર્ચ ૨૭	March 27
સુરત જિલ્લો	Surat district
મૈથિલીશરણ ગુપ્ત	Maithili Sharan Gupt
વલસાડ જિલ્લો	Valsad district
ચણોદ 	Chanod, Valsad
માર્ચ ૨૮	March 28
ડુંગરા 	Dungra
સૌરમંડળ	Solar System table
સિરસ 	Ceres 
ઉદવાડા 	Udvada
હૌમેયા 	Haumea
૧	1
ગુજરાતી અંક	Gujarati numerals
સંખ્યા	Numbers
૦ 	0
વાપી	Vapi
પત્તા	Playing card
ચેસ	Chess
અવયવ	Divisor
માર્ચ ૨૯	March 29
સૌરમંડળ	Solar System
ઉલ્કા	Meteoroid
માર્ચ ૩૦	March 30
માર્ચ	March
માર્ચ ૩૧	March 31
મંગળના ચંદ્રો	Moons of Mars
Selfref	Selfref
એપ્રિલ ૧	April 1
રાજકોટ જિલ્લો	Rajkot district
કોઠારીયાતા.રાજકોટ	Kotharia, Rajkot
એપ્રિલ ફૂલ્સ ડે	April Fools' Day
ડુંગરી 	Dungri
એપ્રિલ ૨	April 2
નારગોલ	Nargol
સંજાણ	Sanjan, Gujarat
એપ્રિલ ૩	April 3
એપ્રિલ ૪	April 4
ભાખરી	Bhakri
એપ્રિલ ૫	April 5
આજી નદી	Aji River 
એપ્રિલ ૬	April 6
મચ્છુ નદી	Machchhu River
ભગવદ ગીતા	Bhagavad Gita
એપ્રિલ ૭	April 7
એપ્રિલ ૮	April 8
રામનારાયણ પાઠક	Ramnarayan V. Pathak
એપ્રિલ ૯	April 9
પિરામિડ	Pyramid
તાજ મહેલ	Taj Mahal
એપ્રિલ ૧૦	April 10
સરદાર પટેલ યુનિવર્સિટી	Sardar Patel University
એપ્રિલ ૧૧	April 11
એપ્રિલ	April
યુરેશીયા	Eurasia
સરધાર	Sardhar
User en-3	User en-3
પીઝાનો ઢળતો મિનારો	Leaning Tower of Pisa
એપ્રિલ ૧૨	April 12
ભરૂચ જિલ્લો	Bharuch district
માધવળ	Maghval
એપ્રિલ ૧૩	April 13
ખારાઘોડા	Kharaghoda
એપ્રિલ ૧૪	April 14
ખાલસા	Khalsa
નાનકશાહી પંચાંગ	Nanakshahi calendar
નેત્રંગ	Netrang
તાપી જિલ્લો	Tapi district
એપ્રિલ ૧૫	April 15
મધુપ્રમેહ	Diabetes mellitus
ચયાપચય	Metabolism
પૌરાણિક પાત્રો	Mythological characters
રામાયણ	Ramayana
કુતુબ મિનાર	Qutb Minar
ગીઝાનો મહાન પિરામિડ	Great Pyramid of Giza
એપ્રિલ ૧૬	April 16
લારા દત્તા	Lara Dutta
કર્ણાટક	Karnataka
કેન્દ્રશાસિત પ્રદેશો	Union Territories of India
ખેડા જિલ્લો	Kheda district
ગુજરાતનાં રેલ્વે સ્ટેશનો	Railway stations in Gujarat
નર્મદા જિલ્લો	Narmada district
નાગાલેંડ	Nagaland
પંચમહાલ જિલ્લો	Panchmahal district
પશ્ચિમ બંગાળ	West Bengal
પૌરાણિક કથા	Mythology
મધ્ય પ્રદેશ	Madhya Pradesh
મણિપુર	Manipur
મિઝોરમ	Mizoram
રાજકારણ	Politics
વડોદરા જિલ્લો	Vadodara district
વ્રતો	Observances
સાબરકાંઠા જિલ્લો	Sabarkantha district
હિમાચલ પ્રદેશ	Himachal Pradesh
રહીમ	Abdul Rahim Khan-I-Khana
હીરાવાડી	Hiravadi
રસખાન	Raskhan
Infobox University	Infobox university
નીશાણા 	Nishana, Songadh
સંત રવિદાસ	Ravidas
!!	!!
!-	!-
વેકુર	Vekur
અબ્રામા 	Abrama
ચીજગામ	Chijgam
દાંડી 	Dandi, Navsari
મહુવર	Mahuvar
વીજલપોર	Vijalpor
માધવપુર ઘેડ	Madhavpur Ghed
સીમલક	Simlak
મરોલી 	Maroli
ભૃગુ	Bhrigu
અંગિરસ	Angiras 
છત્તીસગઢ	Chhattisgarh
જૈમિનિ	Jaimini
કાલકા-શિમલા રેલ્વે	Kalka–Shimla railway
સિંધુ સંસ્કૃતિનાં સ્થળો	Indus Valley Civilisation sites
પુરાતન સ્થળો	Archaeological sites in India
હરીપુરા 	Haripura
Almabot	Almabot
એપ્રિલ ૨૧	April 21
એપ્રિલ ૧૭	April 17
એપ્રિલ ૧૮	April 18
એપ્રિલ ૧૯	April 19
એપ્રિલ ૨૦	April 20
વિલિયમ વિલ્સન	William Wilson 
એપ્રિલ ૨૨	April 22
ગાર્ગી	Gargi Vachaknavi
વસિષ્ઠ	Vasishtha
વિશ્વામિત્ર	Vishvamitra
જમદગ્નિ	Jamadagni
કડોદ	Kadod
કોલોસીયમ	Colosseum
Ancient monuments in Rome	Ancient monuments in Rome
ગૌતમ	Gautama Maharishi
૧૮૪૪ જન્મ	1844 births
૧૯૧૨ અવસાન	1912 deaths
એપ્રિલ ૨૩	April 23
જનક	Janaka
યયાતિ	Yayati
ચલથાણ	Chalthan
પ્રમુખ સ્વામી	Pramukh Swami Maharaj
પુરાતન દુનિયાની સાત અજાયબીઓ	Seven Wonders of the Ancient World
રાજપૂત	Rajput
વાલ્મીકિ	Valmiki
એપ્રિલ ૨૪	April 24
એપ્રિલ ૨૫	April 25
કોસંબા	Kosamba
Meneerke bloem	meneerke bloem
તરસાડી 	Tarasadi
કઠોર 	Kathor
એપ્રિલ ૨૬	April 26
વિશ્વ બૌદ્ધિક સંપદા દિન	World Intellectual Property Day
ટાન્ઝાનિયા	Tanzania
ગેસ્ટાપો	Gestapo
એપ્રિલ ૨૭	April 27
કોમ્પ્યુટર માઉસ	Computer mouse
એરબસ એ ૩૮૦	Airbus A380
ફ્રિડમ ટાવર	One World Trade Center
નાસા	NASA
સોવિયેત યુનિયન	Soviet Union
બેટમેન 	Batman
એપ્રિલ ૨૮	April 28
ગૂગલ અર્થ	Google Earth
ગૂગલ અનુવાદ	Google Translate
Mbox	Mbox
બરબોધન	Barbodhan
એપ્રિલ ૨૯	April 29
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	International Dance Day
સાયણ	Sayan, India
સંતરુ 	Orange 
એપ્રિલ ૩૦	April 30
ડુમસ	Dumas Beach
કોસાડ	Kosad
બિરસા મુંડા	Birsa Munda
વર્ષના દિવસો	Days of the year
મે ૧	May 1
સચીન	Sachin, Gujarat
રામપરા,તા.રાજકોટ	Rampara, Rajkot district
હલેન્ડા,તા.રાજકોટ	Halenda
ચિત્રાવાવ,તા.રાજકોટ	Chitravav
પશુપાલન	Animal husbandry
મે ૨	May 2
મે	May
મે ૩	May 3
મે ૪	May 4
જાન્યુઆરી ૦	January 0
મે ૫	May 5
યુરોપ દિન	Europe Day
આંતરરાષ્ટ્રીય દાયણ દિવસ	International Midwives' Day
આંતરરાષ્ટ્રીય પરીચારિકા દિવસ	International Nurses Day
અખરોટ	Juglans regia
ડુમખલ 	Dumkhal
મે ૬	May 6
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Gir National Park
મે ૭	May 7
વાંદરું	Gray langur
સસ્તન પ્રાણીઓ	Mammals
માકડું	Rhesus macaque
મે ૮	May 8
સિંહ 	Løve
મે ૯	May 9
ભારતીય જીવનવીમા નિગમ	Life Insurance Corporation
મે ૧૦	May 10
નમિતા કપૂર	Namitha
મે ૧૧	May 11
અનુષ્કા શેટ્ટી	Anushka Shetty
એક્યુપ્રેસર	Acupressure
મે ૧૨	May 12
મે ૧૩	May 13
લાલ કિલ્લો	Red Fort
મે ૧૪	May 14
મે ૧૫	May 15
મે ૧૬	May 16
સંચળ	Kala namak
મે ૧૭	May 17
સોફ્ટવેર	Software
મે ૧૮	May 18
મે ૧૯	May 19
મે ૨૦	May 20
મે ૨૧	May 21
મે ૨૨	May 22
મે ૨૩	May 23
વિશ્વ કાચબા દિવસ	World Turtle Day
દિલ્હી મેટ્રો રેલ	Delhi Metro
કાચબો	Turtle
સેમ્યુઅલ મોર્સ	Samuel Morse
આંબેડકર નેશનલ કોંગ્રેસ	Ambedkar National Congress
ભારતીય નાગરિક સભ્યો	Indian Wikipedians
૧૦૨ 	102 
૧૦ 	10
ઉપાસની મહારાજ	Upasni Maharaj
જીવનકાળ	Lifetime
૧૮૭૦ જન્મ	1870 births
૧૯૪૧ અવસાન	1941 deaths
હિંદુ સંત	Hindu saints
૧૯૭૯ જન્મ	1979 births
ગુજરાતના જિલ્લાઓ	Districts of Gujarat
ભાવનગર જિલ્લો	Bhavnagar district
આણંદ જિલ્લો	Anand district
મે ૨૮	May 28
મે ૨૭	May 27
મે ૨૬	May 26
ખડોતિયા જૈન તીર્થ	Khadotiya
પંચગવ્ય	Panchagavya
મે ૨૯	May 29
બોલપેન	Ballpoint pen
મે ૨૪	May 24
કોલા હોલ	Kola Superdeep Borehole
અરડોઈ	Ardoi
મે ૩૦	May 30
મે ૩૧	May 31
મે ૨૫	May 25
ભાડવા	Bhadva
ચિત્તો	Cheetah
દિપડો	Leopard
હેણોતરો	Caracal
રણ બિલાડી	African wildcat
કાટવર્ણી ટપકાંવાળી બિલાડી	Rusty-spotted cat
ચક્તાવાળી બિલાડી	Leopard cat
Side box	Side box
બનાસકાંઠા જિલ્લો	Banaskantha district
જૂન ૧	June 1
જૂન	June
અંદાડા	Andada
જંગલી બિલાડી	Jungle cat
વરૂ	Indian wolf
શાકભાજી	Vegetables
જંગલી કૂતરો	Dhole
શિયાળ	Golden jackal
માંડવા બુઝર્ગ	Mandva
વનસ્પતિ	Plants
જૂન ૨	June 2
જૂન ૩	June 3
લોંકડી	Bengal fox
રણ લોંકડી	White-footed fox
ઝરખ	Striped hyena
ઘોરખોદિયું	Honey badger
જૂન ૪	June 4
જૂન ૫	June 5
કચ્છ જિલ્લો	Kutch district
મહેસાણા જિલ્લો	Mehsana district
જૂન ૬	June 6
શાસ્ત્રીય ભાષા	Classical language
ટેટ્રીસ 	Tetris
સુનિલ દત્ત	Sunil Dutt
જૂન ૭	June 7
મહેશ ભૂપતિ	Mahesh Bhupathi
આસામ	Assam
ગુલામી પ્રથા	Slavery
આસામના જિલ્લાઓ	Districts of Assam
વિડિયો કેસેટ રેકોર્ડર 	Videocassette recorder
જૂન ૮	June 8
ઓમ શાંતિ ઓમ	Om Shanti Om
પ્રેમ	Love
વિશ્વ મહાસાગરો દિવસ	World Oceans Day
કર્ણાટક રાજ્યના જિલ્લાઓ	Districts of Karnataka
જૂન ૯	June 9
